signal,control,lambda1,lambda2,trace,lambda1_share,effective_rank,mean_rel_gap
psi_norm,random_1,127.74377914200188,0.000651494472467016,127.74588844400083,0.9999834882983348,1.0000330241647917,0.16461524012488826
psi_norm,random_2,144.35299842450584,0.0007925120992779741,144.35515431541936,0.9999850653693404,1.0000298698826524,0.09195236513321857
psi_norm,random_3,129.8449096494503,0.001243436327704178,129.84773739081646,0.999978222636582,1.0000435560250514,0.1595752438428544
psi_norm,shift_down,158.7301993851914,0.0016692060553121814,158.73392318948075,0.9999765405893427,1.0000469203246969,0.03528803569837641
psi_norm,shift_up,159.65856676366113,0.0013644364800411948,159.66172909333014,0.9999801935649391,1.0000396139464138,0.032169024730720135
psi_norm,true,168.68389914428747,0.0004205704344349921,168.68494751338181,0.9999937850465628,1.0000124300129272,0.00390651877902617
theta_norm,random_1,145.5227457248503,0.0008127105324741135,145.52504822872638,0.9999841779549012,1.000031644786708,0.08653806153119849
theta_norm,random_2,151.65714879535338,0.001018390015564384,151.65980643556952,0.999982476304839,1.0000350482433302,0.06123403525946408
theta_norm,random_3,149.8318245963601,0.001020037396603981,149.8346890452902,0.9999808826050339,1.0000382358067945,0.06915313874887949
theta_norm,shift_down,158.74447277019846,0.0016757313933568848,158.74822241929354,0.9999763798986978,1.000047241727789,0.03524293389088404
theta_norm,shift_up,159.64485081675045,0.0013693014185006984,159.64803546213548,0.9999800520853526,1.000039896921884,0.03221209158286111
theta_norm,true,168.68374420804187,0.0004205339937091611,168.68479287268704,0.999993783288776,1.000012433528566,0.003906978733959964
